,5:17:39.713,meter,tag
123,5:17:40.461,0.0059583,True
496,5:17:42.605,0.0022881999999999998,True
863,5:17:44.754,0.0050551,True
1201,5:17:46.901,0.0051301,True
1537,5:17:49.015,0.0020104,True
1884,5:17:51.155,0.0049705,True
2258,5:17:53.280,0.0045024999999999996,True
2613,5:17:55.421,0.0084959,True
2946,5:17:57.549,0.009455100000000001,True
3281,5:17:59.652,0.00099199,True
3617,5:18:01.796,0.0089343,True
3642,5:18:01.938,4.2245e-06,False
3987,5:18:03.898,0.0041613,True
4326,5:18:06.051,0.004006,True
4666,5:18:08.198,0.006665100000000001,True
5009,5:18:10.322,0.0032887,True
5363,5:18:12.447,0.005157500000000001,True
5743,5:18:14.570,0.0021308000000000004,True
5926,5:18:15.739,4.2245e-06,False
6079,5:18:16.712,0.005557899999999999,True
6416,5:18:18.858,0.0030721,True
6763,5:18:21.000,0.0028968,True
7120,5:18:23.121,0.007185899999999999,True
7488,5:18:25.247,0.0012403,True
7816,5:18:27.397,0.0054248000000000005,True
8154,5:18:29.533,0.0070074,True
8508,5:18:31.696,0.0057798,True
8868,5:18:33.801,0.0046451999999999995,True
9224,5:18:35.948,0.007920100000000001,True
9560,5:18:38.066,0.0030309,True
9896,5:18:40.208,0.003963800000000001,True
10241,5:18:42.310,0.002807,True
10609,5:18:44.448,0.0017463000000000001,True
10958,5:18:46.555,0.005354,True
11295,5:18:48.699,0.0061906999999999995,True
11642,5:18:50.822,0.0059192,True
12000,5:18:52.968,0.0045902,True
12376,5:18:55.108,0.0040704999999999995,True
12718,5:18:57.246,0.0033986,True
13052,5:18:59.356,0.0039997,True
13393,5:19:01.498,0.0034292000000000003,True
13404,5:19:01.565,4.2245e-06,False
13745,5:19:03.648,0.0083902,True
